owner,repo,state,severity,library_name,number,created_at
tkc,react-admin-sandbox,open,medium,@sentry/browser,9,2024-10-04T16:32:55Z
tkc,react-admin-sandbox,open,medium,axios,6,2024-02-22T08:13:28Z
tkc,react-admin-sandbox,open,critical,@babel/traverse,4,2023-10-19T21:26:46Z
tkc,react-admin-sandbox,fixed,medium,node-sass,3,2022-02-10T11:34:20Z
tkc,react-admin-sandbox,fixed,medium,axios,1,2021-01-05T17:17:34Z
tkc,ts-express-clean-architecture-sandbox,open,critical,elliptic,139,2025-02-13T09:08:13Z
tkc,ts-express-clean-architecture-sandbox,open,medium,serialize-javascript,138,2025-02-11T06:11:58Z
tkc,ts-express-clean-architecture-sandbox,open,medium,parseuri,137,2025-01-17T19:39:54Z
tkc,ts-express-clean-architecture-sandbox,open,high,path-to-regexp,136,2024-12-06T21:03:43Z
tkc,ts-express-clean-architecture-sandbox,open,high,cross-spawn,135,2024-11-20T14:14:54Z
tkc,ts-express-clean-architecture-sandbox,open,low,elliptic,133,2024-10-29T06:28:36Z
tkc,ts-express-clean-architecture-sandbox,open,low,elliptic,131,2024-10-11T09:10:54Z
tkc,ts-express-clean-architecture-sandbox,open,low,cookie,130,2024-10-06T08:08:49Z
tkc,ts-express-clean-architecture-sandbox,open,low,send,129,2024-09-12T02:14:27Z
tkc,ts-express-clean-architecture-sandbox,open,low,serve-static,128,2024-09-12T01:58:45Z
tkc,ts-express-clean-architecture-sandbox,open,low,express,127,2024-09-11T17:03:15Z
tkc,ts-express-clean-architecture-sandbox,open,high,body-parser,126,2024-09-11T12:04:57Z
tkc,ts-express-clean-architecture-sandbox,open,high,path-to-regexp,125,2024-09-10T13:08:32Z
tkc,ts-express-clean-architecture-sandbox,open,medium,micromatch,124,2024-08-30T04:21:58Z
tkc,ts-express-clean-architecture-sandbox,open,low,elliptic,122,2024-08-06T02:25:44Z
tkc,ts-express-clean-architecture-sandbox,open,low,elliptic,121,2024-08-06T02:24:45Z
tkc,ts-express-clean-architecture-sandbox,open,low,elliptic,120,2024-08-06T02:04:00Z
tkc,ts-express-clean-architecture-sandbox,open,medium,bootstrap,119,2024-08-02T00:01:02Z
tkc,ts-express-clean-architecture-sandbox,open,high,glob-parent,118,2024-06-27T15:20:19Z
tkc,ts-express-clean-architecture-sandbox,open,medium,socket.io,117,2024-06-19T21:00:09Z
tkc,ts-express-clean-architecture-sandbox,open,high,ws,116,2024-06-17T20:13:40Z
tkc,ts-express-clean-architecture-sandbox,open,high,braces,115,2024-06-16T10:40:09Z
tkc,ts-express-clean-architecture-sandbox,open,medium,pug,114,2024-05-24T15:28:32Z
tkc,ts-express-clean-architecture-sandbox,open,medium,pug-code-gen,113,2024-05-24T15:15:41Z
tkc,ts-express-clean-architecture-sandbox,open,medium,tar,111,2024-04-10T15:48:00Z
tkc,ts-express-clean-architecture-sandbox,open,medium,express,110,2024-03-26T15:02:55Z
tkc,ts-express-clean-architecture-sandbox,open,low,es5-ext,109,2024-02-27T03:44:08Z
tkc,ts-express-clean-architecture-sandbox,open,medium,nodemailer,108,2024-01-31T23:47:39Z
tkc,ts-express-clean-architecture-sandbox,open,high,sharp,107,2023-11-16T17:28:08Z
tkc,ts-express-clean-architecture-sandbox,open,high,browserify-sign,106,2023-10-27T05:50:32Z
